date,open,high,low,close,volume,open_interest,settle
2026-06-10,2.5814,2.5814,2.5814,2.5814,81,250,2.5814
2026-06-11,2.5497,2.5497,2.5497,2.5497,33,281,2.5497
2026-06-12,2.488,2.488,2.488,2.488,66,284,2.488
2026-06-15,2.4557,2.4557,2.4557,2.4557,112,282,2.4557
2026-06-16,2.4113,2.4113,2.4113,2.4113,424,314,2.4113
2026-06-17,2.398,2.398,2.3915,2.3915,180,372,2.3945
2026-06-18,2.34,2.34,2.34,2.34,245,430,2.3757
2026-06-22,2.3553,2.3553,2.3553,2.3553,51,522,2.3553
2026-06-23,2.35,2.35,2.35,2.35,99,534,2.35
2026-06-24,2.2984,2.2984,2.2984,2.2984,341,546,2.2984
2026-06-25,2.3242,2.3242,2.3242,2.3242,33,676,2.3242
2026-06-26,2.2852,2.2916,2.284,2.2916,453,669,2.2857
2026-06-29,2.3095,2.3095,2.3095,2.3095,74,797,2.3095
2026-06-30,2.3015,2.3015,2.3015,2.3015,57,800,2.3015
2026-07-01,2.3191,2.3191,2.3191,2.3191,50,799,2.3191
2026-07-02,2.3069,2.3069,2.3069,2.3069,87,811,2.325
2026-07-06,2.3589,2.3589,2.3589,2.3589,123,832,2.3589
2026-07-07,2.3756,2.3756,2.3756,2.3756,110,878,2.3756
2026-07-08,2.454,2.454,2.4525,2.4525,389,893,2.4403
2026-07-09,2.4277,2.4277,2.4277,2.4277,46,907,2.4277
2026-07-10,2.4067,2.4067,2.385,2.385,46,908,2.4046
2026-07-13,2.4817,2.4817,2.4817,2.4817,306,902,2.4817
2026-07-14,2.4832,2.4832,2.4832,2.4832,286,910,2.4832
2026-07-15,2.5,2.5,2.5,2.5,461,891,2.4876
2026-07-16,2.475,2.475,2.475,2.475,116,912,2.475
2026-07-17,2.5144,2.5144,2.5144,2.5144,370,909,2.5144
2026-07-20,2.5207,2.5207,2.5207,2.5207,257,956,2.5207
2026-07-21,2.5282,2.5282,2.5282,2.5282,327,953,2.5282
2026-07-22,2.5434,2.5434,2.5434,2.5434,729,1027,2.5434
2026-07-23,2.5879,2.5879,2.5586,2.5586,841,1295,2.5634
2026-07-24,2.5426,2.5426,2.5426,2.5426,68,1418,2.5426
2026-07-27,2.4846,2.4846,2.4846,2.4846,191,1454,2.4846
2026-07-28,2.4382,2.4382,2.4382,2.4382,206,1492,2.4382
2026-07-29,2.485,2.485,2.485,2.485,486,1539,2.4983
2026-07-30,2.447,2.447,2.447,2.447,158,1578,2.447
2026-07-31,2.4515,2.4515,2.4515,2.4515,323,1600,2.4515
2026-08-03,2.4015,2.4015,2.4005,2.4005,321,1671,2.4031
2026-08-04,2.3693,2.3693,2.3693,2.3693,259,1659,2.3755
2026-08-05,2.3786,2.3786,2.3786,2.3786,126,1589,2.3786
2026-08-06,2.4063,2.4063,2.4063,2.4063,74,1606,2.4063
2026-08-07,2.4289,2.4289,2.4289,2.4289,40,1612,2.4289
2026-08-10,2.4967,2.4967,2.4967,2.4967,501,1621,2.4967
2026-08-11,2.5016,2.5016,2.5016,2.5016,462,1605,2.5016
2026-08-12,2.5099,2.5099,2.5099,2.5099,255,1560,2.5099
2026-08-13,2.49,2.49,2.49,2.49,283,1562,2.49
2026-08-14,2.508,2.508,2.508,2.508,179,1577,2.508
2026-08-17,2.5333,2.5333,2.5333,2.5333,192,1555,2.5338
2026-08-18,2.5565,2.5565,2.5565,2.5565,149,1541,2.5565
2026-08-19,2.5464,2.5464,2.5464,2.5464,467,1565,2.5464
2026-08-20,2.5687,2.5687,2.5687,2.5687,349,1541,2.5769
2026-08-21,2.5718,2.5718,2.5718,2.5718,634,1570,2.5724
2026-08-24,2.5283,2.5283,2.5283,2.5283,561,1606,2.5283
2026-08-25,2.505,2.505,2.505,2.505,436,1736,2.5019
2026-08-26,2.502,2.502,2.502,2.502,623,1676,2.502
2026-08-27,2.5242,2.5242,2.5242,2.5242,1747,1656,2.5242
2026-08-28,2.5617,2.5624,2.5617,2.5624,1478,1518,2.5623
2026-08-31,2.5903,2.5911,2.588,2.5891,640,1644,2.5948
2026-09-01,2.6377,2.6377,2.6377,2.6377,845,1732,2.6398
2026-09-02,2.6275,2.6275,2.6275,2.6275,910,1907,2.6275
2026-09-03,2.6185,2.6185,2.6185,2.6185,330,1930,2.6185
2026-09-04,2.6377,2.6377,2.6377,2.6377,165,1942,2.6377
2026-09-08,2.6448,2.6448,2.6448,2.6448,457,1946,2.6749
2026-09-09,2.6892,2.6988,2.6794,2.6988,1191,2000,2.6959
2026-09-10,2.726,2.742,2.726,2.742,1241,1878,2.7433
2026-09-11,2.6778,2.6919,2.6763,2.6919,789,1903,2.698
