date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nr_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
1992-01-31,102744,8139,13563,2194,70440,65364,21971,21623,-5424,5076,348,2245,2146,4372,4042
1992-02-14,115921,8609,20189,616,80590,65600,26106,29516,-11580,14990,-3410,470,6626,10150,236
1992-02-28,94362,8990,17863,705,64503,54625,20164,21169,-8873,9878,-1005,381,-2326,-16087,-10975
1992-03-13,93455,8820,14772,239,62700,58640,21696,19804,-5952,4060,1892,-170,-3091,-1803,4015
1992-03-31,94522,8419,10295,452,59589,66135,26062,17640,-1876,-6546,8422,-401,-4477,-3111,7495
1992-04-15,111678,31255,2796,1120,44918,90333,34385,17429,28459,-45415,16956,22836,-7499,-14671,24198
1992-04-30,97372,31430,1609,94,33452,78853,32396,16816,29821,-45401,15580,175,-1187,-11466,-11480
1992-05-15,95775,29105,2651,0,31193,77438,35477,15686,26454,-46245,19791,-2325,1042,-2259,-1415
1992-05-29,102228,33334,3107,446,32015,81549,36433,17126,30227,-49534,19307,4229,456,822,4111
1992-06-15,110133,27151,300,0,32809,86033,50173,23800,26851,-53224,26373,-6183,-2807,794,4484
1992-06-30,98767,27173,1037,0,28320,76171,43274,21559,26136,-47851,21715,22,737,-4489,-9862
1992-07-15,94232,20294,326,1396,27850,63698,44692,28812,19968,-35848,15880,-6879,-711,-470,-12473
1992-07-31,93068,16931,1204,405,32295,59863,43437,31596,15727,-27568,11841,-3363,878,4445,-3835
1992-08-14,79800,10830,3770,344,33536,50828,35090,24858,7060,-17292,10232,-6101,2566,1241,-9035
1992-08-31,87246,5296,7593,0,53140,45425,28810,34228,-2297,7715,-5418,-5534,3823,19604,-5403
1992-09-15,76078,5051,2028,722,40408,46304,29897,27024,3023,-5896,2873,-245,-5565,-12732,879
1992-09-30,66339,3563,7492,0,42041,33047,20735,25800,-3929,8994,-5065,-1488,5464,1633,-13257
1992-10-06,68277,3669,7994,0,44268,33526,20340,26757,-4325,10742,-6417,106,502,2227,479
1992-10-13,69863,3579,8356,0,44041,34708,22243,26799,-4777,9333,-4556,-90,362,-227,1182
1992-10-20,69454,5523,4017,508,37869,42384,25554,22545,1506,-4515,3009,1944,-4339,-6172,7676
1992-10-27,70697,3097,4815,504,43961,38489,23135,26889,-1718,5472,-3754,-2426,798,6092,-3895
1992-11-03,71725,4225,3422,854,40071,42607,26575,24842,803,-2536,1733,1128,-1393,-3890,4118
1992-11-10,71349,5304,3916,475,42748,39926,22822,27032,1388,2822,-4210,1079,494,2677,-2681
1992-11-17,71722,5472,5617,638,44020,39039,21592,26428,-145,4981,-4836,168,1701,1272,-887
1992-11-24,84238,3431,20598,646,57446,33216,22715,29778,-17167,24230,-7063,-2041,14981,13426,-5823
1992-12-01,86881,3541,21668,546,59635,32579,23159,32088,-18127,27056,-8929,110,1070,2189,-637
1992-12-08,91731,3291,24065,529,64627,34162,23284,32975,-20774,30465,-9691,-250,2397,4992,1583
1992-12-15,95531,3449,27176,529,68686,34949,22867,32877,-23727,33737,-10010,158,3111,4059,787
1992-12-22,96227,3300,28566,505,70228,34089,22194,33067,-25266,36139,-10873,-149,1390,1542,-860
1992-12-29,93887,3570,23820,499,66193,38006,23625,31562,-20250,28187,-7937,270,-4746,-4035,3917
1993-01-05,95607,4056,26357,16,68805,37124,22730,32110,-22301,31681,-9380,486,2537,2612,-882
1993-01-12,87194,5866,7218,0,50891,48769,30437,31207,-1352,2122,-770,1810,-19139,-17914,11645
1993-01-19,88847,7886,6987,0,47161,53446,33800,28414,899,-6285,5386,2020,-231,-3730,4677
1993-01-26,94397,8632,6878,0,53096,61362,32669,26157,1754,-8266,6512,746,-109,5935,7916
1993-02-02,97368,4527,11639,20,62271,56598,30550,29111,-7112,5673,1439,-4105,4761,9175,-4764
1993-02-09,99042,4545,13648,15,64747,57093,29735,28286,-9103,7654,1449,18,2009,2476,495
1993-02-16,111360,16951,5966,400,52160,80084,41849,24910,10985,-27924,16939,12406,-7682,-12587,22991
1993-02-23,109008,21289,1147,589,42129,84738,45001,22534,20142,-42609,22467,4338,-4819,-10031,4654
1993-03-02,114236,26108,1415,1035,44707,92081,42386,19705,24693,-47374,22681,4819,268,2578,7343
1993-03-09,117552,25090,1251,1158,46741,92722,44563,22421,23839,-45981,22142,-1018,-164,2034,641
1993-03-16,121985,25277,1394,970,49427,97078,46311,22543,23883,-47651,23768,187,143,2686,4356
1993-03-23,128086,23990,2316,805,52525,100487,50766,24478,21674,-47962,26288,-1287,922,3098,3409
1993-03-30,133917,23742,2503,896,58020,104552,51259,25966,21239,-46532,25293,-248,187,5495,4065
1993-04-06,130449,20731,2636,1344,57823,97002,50551,29467,18095,-39179,21084,-3011,133,-197,-7550
1993-04-13,114493,14109,516,346,51855,83830,48183,29801,13593,-31975,18382,-6622,-2120,-5968,-13172
1993-04-20,108170,14226,0,323,55173,82450,38448,25397,14226,-27277,13051,117,-516,3318,-1380
1993-04-27,110735,15680,821,711,51389,85036,42955,24167,14859,-33647,18788,1454,821,-3784,2586
1993-05-04,105414,15593,676,6,50063,81582,39752,23150,14917,-31519,16602,-87,-145,-1326,-3454
