date,open,close,high,low,volume,amount
2023-10-18,14770,14665,14805,14645,470859,69361385472
2023-10-19,14735,14610,14875,14600,537011,79025643520
2023-10-20,14605,14455,14690,14375,437942,63780663808
2023-10-23,14500,14480,14560,14395,368422,53312655104
2023-10-24,14520,14525,14575,14405,385807,55887916800
2023-10-25,14525,14745,14750,14465,442378,64539922432
2023-10-26,14730,14605,14755,14490,396102,57960943872
2023-10-27,14595,14460,14635,14385,430274,62457393664
2023-10-30,14460,14205,14475,14110,489839,69719920640
2023-10-31,14225,14175,14260,14040,328902,46550110720
2023-11-01,14195,14180,14220,14105,258100,36529199872
2023-11-02,14210,14200,14275,14135,268550,38131645696
2023-11-03,14230,14245,14320,14200,232837,33210741248
2023-11-06,14260,14165,14285,14020,363237,51307606528
2023-11-07,14135,14045,14260,13975,349408,49414527232
2023-11-08,14045,14170,14205,14000,273859,38602018048
2023-11-09,14170,14200,14250,14045,335475,47484832512
2023-11-10,14205,14355,14400,14175,472361,67529127168
2023-11-13,14355,14315,14370,14230,302303,43243071232
2023-11-14,14290,14450,14480,14290,324849,46837799936
2023-11-15,14450,14495,14515,14370,277533,40063096832
2023-11-16,14505,14585,14590,14430,298428,43241310464
2023-11-17,14565,14200,14605,14190,421771,60588897024
2023-11-20,14220,14370,14430,14215,319726,45824198912
2023-11-21,14420,14090,14470,14030,351541,50258523904
2023-11-22,14105,13925,14115,13875,292853,41038637312
2023-11-23,13930,13905,13965,13810,243408,33794845184
2023-11-24,13920,13965,14000,13860,175093,24376692736
2023-11-27,13995,13935,14060,13865,218374,30478950144
2023-11-28,13930,13950,13995,13840,211635,29448944384
2023-11-29,13950,13625,13960,13595,290980,40208932352
2023-11-30,13665,13620,13695,13595,148274,20226906112
2023-12-01,13620,13395,13750,13340,151991,20590569472
2023-12-04,13460,13300,13460,13230,105529,14060438528
2023-12-05,13480,13260,13505,13165,191193,25504225024
2023-12-06,13245,13330,13330,13115,161325,21328278016
2023-12-07,13320,13355,13385,13185,148727,19767234304
2023-12-08,13350,13615,13650,13335,198540,26714144768
2023-12-11,13620,13565,13690,13475,165188,22398910464
2023-12-12,13565,13590,13625,13495,121827,16513240320
2023-12-13,13570,13405,13600,13340,190979,25678289408
2023-12-14,13405,13470,13480,13370,135000,18131352064
2023-12-15,13495,13520,13580,13460,154386,20871280128
2023-12-18,13490,13605,13630,13385,185614,25074920960
2023-12-19,13595,13580,13645,13515,140303,19027712256
2023-12-20,13595,13715,13770,13390,272787,37067416832
2023-12-21,13745,13795,13825,13705,173833,23928246784
2023-12-22,13775,13910,13940,13745,199032,27572429568
2023-12-25,13920,13905,13980,13830,183891,25568616960
2023-12-26,13900,13840,13935,13815,157602,21871655680
2023-12-27,13800,13935,13955,13760,212119,29411559936
2023-12-28,13900,13930,13980,13835,160722,22353748224
2023-12-29,13890,14170,14195,13890,304244,42906347776
2024-01-02,14350,14205,14540,14195,234426,33621752832
2024-01-03,14150,14115,14205,14045,191738,27114354944
2024-01-04,14100,13875,14105,13820,221864,31004851200
2024-01-05,13875,13850,13925,13810,168924,23442000896
2024-01-08,13845,13470,13850,13440,270373,36761069056
2024-01-09,13475,13445,13560,13380,183167,24679386112
2024-01-10,13495,13470,13525,13420,158667,21377177600
2024-01-11,13475,13695,13710,13475,201048,27375344896
2024-01-12,13700,13770,13800,13665,155061,21309051392
2024-01-15,13800,13785,13935,13755,181339,25094940160
2024-01-16,13750,13875,13915,13710,191732,26516071936
2024-01-17,13855,13775,13950,13735,200273,27707126016
2024-01-18,13740,13860,13920,13635,270274,37240039680
2024-01-19,13850,13875,13880,13725,182298,25149037824
2024-01-22,13850,13545,13855,13470,281375,38564741888
2024-01-23,13555,13535,13570,13345,251950,33872492288
2024-01-24,13535,13630,13650,13510,171316,23252636928
2024-01-25,13675,13760,13790,13635,167411,22937654784
2024-01-26,13740,13665,13770,13650,165485,22679710464
2024-01-29,13630,13560,13740,13470,210340,28655941888
2024-01-30,13570,13510,13635,13485,151537,20558647552
2024-01-31,13480,13525,13605,13460,174041,23541138944
2024-02-01,13510,13385,13520,13355,217506,29166758144
2024-02-02,13395,13290,13430,13120,316565,41989199872
2024-02-05,13335,13385,13445,13295,209584,28024295168
2024-02-06,13370,13355,13470,13330,149862,20068818688
2024-02-07,13345,13240,13350,13225,160150,21263348736
2024-02-08,13250,13365,13375,13120,191173,25280915712
2024-02-19,13550,13465,13615,13400,166270,22489020672
2024-02-20,13505,13555,13620,13505,164141,22274241536
2024-02-21,13500,13550,13625,13475,184759,25012031744
2024-02-22,13555,13760,13815,13540,239740,32799025664
2024-02-23,13760,13810,13845,13695,170180,23432351232
2024-02-26,13795,13750,13810,13680,158885,21840296192
2024-02-27,13770,13965,14015,13765,252378,35186540288
2024-02-28,13950,13965,14030,13900,198282,27666359552
2024-02-29,13945,13960,13965,13820,178063,24754666496
2024-03-01,13965,13915,13985,13820,183239,25462861056
2024-03-04,13950,13850,13955,13755,196654,27245409280
2024-03-05,13850,13780,13880,13700,181567,25006764544
2024-03-06,13780,13805,13830,13675,165580,22784953856
2024-03-07,13835,13725,13880,13675,169314,23378431232
2024-03-08,13750,14250,14295,13720,374002,52305167616
2024-03-11,14280,14080,14350,14045,349676,49585382656
2024-03-12,14095,14135,14270,14010,262215,37017892352
2024-03-13,14135,14200,14255,14090,235453,33388214784
2024-03-14,14250,14380,14540,14220,448669,64408770304
2024-03-15,14400,14790,14870,14365,556251,81359056896
2024-03-18,14820,15500,15500,14685,751314,114002677760
2024-03-19,15600,15395,15805,15270,808897,125378207744
2024-03-20,15315,15390,15575,15235,620900,95796613120
2024-03-21,15305,14940,15405,14920,589274,89621667840
2024-03-22,14900,14510,15025,14305,764406,112302854144
2024-03-25,14570,14440,14580,14370,396196,57400914944
2024-03-26,14500,14535,14700,14435,309655,45125859072
2024-03-27,14595,14280,14600,14175,258240,37200115200
2024-03-28,14480,14655,14660,14315,414916,60126580992
2024-03-29,14600,14665,14725,14450,436361,63743847424
2024-04-01,14665,14780,14820,14505,413869,60644345600
