date,open,close,high,low,volume,amount
2025-01-06,13305,13460,13535,13185,117017,7819839744
2025-01-07,13540,13725,13770,13490,132400,9010570240
2025-01-08,13725,13490,13750,13465,101851,6926329088
2025-01-09,13455,13535,13565,13325,104288,7019685632
2025-01-10,13540,13600,13710,13370,91561,6190987008
2025-01-13,13620,14250,14380,13590,171446,12092975104
2025-01-14,14235,14330,14400,14105,87735,6242711296
2025-01-15,14385,14260,14385,14120,72006,5120197632
2025-01-16,14295,14600,14870,14220,196261,14397447936
2025-01-17,14600,14845,14975,14520,180667,13345311488
2025-01-20,14840,14755,15040,14715,179631,13365210368
2025-01-21,14820,14985,15175,14770,181804,13658865664
2025-01-22,14975,14930,14980,14710,159599,11827575552
2025-01-23,14980,14770,15215,14715,212676,15851316992
2025-01-24,14715,14825,14925,14510,173972,12759376384
2025-01-27,14745,14780,14850,14560,124629,9163911424
2025-02-05,14700,14630,14730,14390,76765,5581184512
2025-02-06,14540,14635,14690,14340,100400,7280728832
2025-02-07,14635,14780,15015,14590,161503,12015411712
2025-02-10,14720,14720,14750,14435,107309,7814992896
2025-02-11,14780,14555,14965,14530,124636,9179705344
2025-02-12,14500,14730,14785,14500,99082,7252852224
2025-02-13,14730,14285,14860,14140,138179,10020575232
2025-02-14,14300,14395,14535,14240,95234,6857653248
2025-02-17,14450,14185,14450,14125,92356,6582078208
2025-02-18,14145,14060,14205,13985,73509,5175376384
2025-02-19,14040,14005,14070,13805,81793,5701320960
2025-02-20,14000,13965,14050,13915,44799,3131978480
2025-02-21,13950,13750,14115,13710,123830,8619617024
2025-02-24,13750,13620,13795,13580,87818,6003371264
2025-02-25,13580,13765,13790,13580,97905,6713935872
2025-02-26,13770,13810,13855,13520,150309,10301210368
2025-02-27,13880,13840,13940,13745,98856,6841694976
2025-02-28,13850,14100,14135,13790,111179,7742803200
2025-03-03,14100,14005,14260,13975,105544,7455517184
2025-03-04,14000,13765,14015,13760,84535,5871460352
2025-03-05,13715,13650,13765,13540,83729,5713638912
2025-03-06,13635,13700,13735,13500,75567,5147175680
2025-03-07,13685,13610,13785,13600,59462,4071788400
2025-03-10,13615,13400,13665,13400,62777,4246940256
2025-03-11,13355,13700,13730,13355,65072,4406680320
2025-03-12,13770,13825,13895,13655,72585,4995644416
2025-03-13,13850,13720,13880,13635,53729,3695979408
2025-03-14,13760,13750,13900,13715,47568,3284079248
2025-03-17,13775,13705,13930,13605,90740,6219906048
2025-03-18,13750,13880,13885,13680,78280,5402259200
2025-03-19,13890,13855,13900,13710,79838,5509601536
2025-03-20,13845,13685,13845,13565,107898,7379418368
2025-03-21,13655,13580,13720,13525,87939,5983326976
2025-03-24,13570,13680,13705,13510,85143,5787102976
2025-03-25,13650,13560,13730,13525,68722,4683345920
2025-03-26,13630,13485,13630,13425,67517,4563346176
2025-03-27,13510,13635,13695,13465,79019,5366028544
2025-03-28,13620,13560,13670,13525,82344,5595480064
2025-03-31,13585,13535,13680,13470,102484,6950468864
2025-04-01,13555,13600,13635,13465,86377,5853629184
2025-04-02,13605,13800,13835,13570,86710,5952200192
2025-04-03,13835,13170,13835,13165,133137,8988355840
2025-04-07,12555,12555,12555,12555,4108,257879700
2025-04-08,11700,11925,12430,11700,152229,9290700800
2025-04-09,11925,11350,11975,11350,188476,10919885056
2025-04-10,11300,11760,12120,10955,222764,12785059328
2025-04-11,11695,11775,11795,11505,102269,5951001856
2025-04-14,11730,11675,11830,11630,73041,4282282624
2025-04-15,11680,11410,11730,11395,78013,4500489728
2025-04-16,11425,11045,11495,10955,99216,5590931200
2025-04-17,11100,11115,11285,10935,134799,7482888960
2025-04-18,11120,11025,11180,10820,123772,6808344832
2025-04-21,10960,11195,11245,10775,114788,6325371136
2025-04-22,11215,11100,11215,11035,62044,3444574944
2025-04-23,10900,11295,11355,10895,182968,10130956288
2025-04-24,11230,11235,11260,11050,150950,8425721856
2025-04-25,11240,11335,11515,11190,182590,10355889152
2025-04-28,11305,11360,11540,11260,130875,7467477248
2025-04-29,11360,11225,11385,11155,138804,7817775872
2025-04-30,11215,11080,11370,11075,128025,7199557888
2025-05-06,11020,11315,11380,10890,113965,6397665280
2025-05-07,11340,11375,11440,11215,121503,6883920896
2025-05-08,11310,11370,11385,11165,106954,6032696576
2025-05-09,11380,11450,11535,11350,110734,6339463936
2025-05-12,11505,11820,11880,11215,189461,10922985216
2025-05-13,11955,12205,12340,11725,219791,13157715968
2025-05-14,12270,12380,12475,12135,211375,13003179264
2025-05-15,12350,12260,12445,12180,126864,7809696000
2025-05-16,12215,12160,12385,12105,134239,8226593280
2025-05-19,12155,12240,12410,12105,124221,7613224192
2025-05-20,12255,12070,12260,11990,94802,5752646912
2025-05-21,12055,11900,12090,11850,97613,5835071232
2025-05-22,11940,11895,12070,11885,74911,4489472512
2025-05-23,12015,11750,12080,11730,101603,6054369280
2025-05-26,11695,11545,11755,11425,175284,10147391744
2025-05-27,11595,11645,11645,11520,125942,7295629312
2025-05-28,11625,11150,11635,11090,168727,9559420672
2025-05-29,11200,11345,11470,11195,163945,9300647424
2025-05-30,11300,11145,11360,11100,151323,8494252288
2025-06-03,11115,10875,11175,10755,133366,7278778368
2025-06-04,10925,11095,11120,10885,129848,7137161216
2025-06-05,11055,10960,11090,10925,99659,5483911936
2025-06-06,10960,11300,11395,10960,159507,8973609728
2025-06-09,11300,11270,11300,11180,104086,5847974144
2025-06-10,11290,11230,11385,11180,104597,5893743360
2025-06-11,11240,11225,11300,11030,112068,6255727616
2025-06-12,11260,11035,11350,11025,121876,6833821696
2025-06-13,11015,11390,11560,10960,206269,11671017472
2025-06-16,11420,11565,11645,11270,159100,9100412928
2025-06-17,11500,11485,11560,11380,111310,6382339584
2025-06-18,11560,11740,11750,11520,104964,6119832576
2025-06-19,11750,11770,11810,11665,81102,4758734592
2025-06-20,11780,11630,11915,11595,106439,6240406784
2025-06-23,11580,11575,11805,11480,102647,5947377408
2025-06-24,11535,11230,11580,11175,110263,6248187392
2025-06-25,11215,11225,11320,11200,37814,2126245056
2025-06-26,11050,11195,11200,11005,108330,6008634368
2025-06-27,11185,11275,11315,11135,96846,5428938496
2025-06-30,11260,11250,11380,11195,96678,5449434112
2025-07-01,11240,11260,11320,11075,92497,5190786560
2025-07-02,11280,11260,11305,11110,89875,5046597120
2025-07-03,11270,11185,11380,11145,105416,5941334016
2025-07-04,11210,11275,11365,11195,87186,4915043840
2025-07-07,11250,11000,11260,10935,133795,7381244160
2025-07-08,11040,11305,11395,10965,173632,9730147584
2025-07-09,11295,11310,11395,11265,84323,4772123136
2025-07-10,11290,11615,11635,11255,103683,5943517696
2025-07-11,11550,11615,11685,11545,82299,4776831488
2025-07-14,11605,11625,11650,11530,74986,4344534784
2025-07-15,11630,11535,11730,11460,101885,5904499200
2025-07-16,11545,11525,11580,11390,57449,3294965632
2025-07-17,11490,11570,11615,11435,69387,3997366000
2025-07-18,11590,11720,11790,11570,90365,5291725312
2025-07-21,11750,11995,12060,11710,87016,5182425600
2025-07-22,11990,12100,12175,11920,121387,7300334080
2025-07-23,12100,11875,12155,11820,125082,7506805504
2025-07-24,11900,12285,12350,11855,148642,8962515968
2025-07-25,12305,12415,12525,12145,160791,9905838848
2025-07-28,12415,11955,12415,11860,150860,9149606912
2025-07-29,11950,11835,11980,11710,104614,6203060736
2025-07-30,11850,11775,11950,11740,100392,5942539008
2025-07-31,11785,11495,11785,11460,93023,5388034816
