symbol,event_date,group,close,ema10,ema20,diff_cur,dea_cur,hist_cur,weeks_since_cross,diff_drawdown,spy_pre8,fwd5,exc5,fwd10,exc10,fwd20,exc20,fwd60,exc60,broken5,broken10,broken20,broken60
vz,2004-04-16,A,10.648589134216309,10.661263481399303,10.477820153233502,0.23265177379097857,0.2341626584096272,-0.0015108846186486224,13.0,0.26573321967398256,-0.5666417705792459,-2.66665651667517,0.864906801478349,-2.66665651667517,-3.0405312080257874,10.183205853918032,11.325852939592963,-1.183420347120756,-8.846973879687802,0,1,1,1
vz,2006-04-28,B,10.474227905273438,10.495181444684386,10.360674687589317,0.157954238629749,0.15275285902224583,0.005201379607503165,10.0,0.297468054826748,2.5107191940902274,-3.300065628555504,-1.4212891927154692,0.2507961377485879,3.5217648186630868,9.751795134017737,8.49204672005661,36.80191357134426,19.67001697383082,1,1,1,1
vz,2026-04-24,A,45.60260772705078,46.29418209519731,44.85363795421712,1.9130590465595816,2.0085149990875304,-0.0954559525279488,12.0,0.27602914773609477,4.358637466147797,3.0832284212155336,-2.875251877634155,-8.236305308901704,-12.82474929378369,,,,,0,1,1,1
hon,1998-05-29,A,21.74485206604004,21.92758850503624,21.489217116374235,0.5879308818948346,0.6239954869745025,-0.03606460507966791,15.0,0.27486468654023677,-3.1640715434602784,3.6549241199888005,-2.011318470700041,-13.15797945101843,-13.562392653413024,-10.762378882099267,-8.63604011558462,52.591051408417044,26.146153790330096,0,1,1,1
hon,2013-12-13,C,62.83338165283203,62.94395208170066,61.47472720294554,2.136500251017033,2.2421778280867963,-0.10567757706976355,999.0,0.256812342007228,2.133151172163039,3.8563584842910004,0.1917670447677544,8.451670817904056,4.645997386885714,7.164797345021312,0.5365910255262119,19.834216824635487,1.5341495688194975,0,0,0,0
pm,2012-08-24,C,46.36685180664063,46.451234849197405,45.297351826761194,1.6407401162148787,1.6549669163029788,-0.014226800088100067,999.0,0.35077981427327254,3.9750095374443184,1.1335776046188073,-1.147984435494176,-2.251046336292728,-2.8203731561995293,0.48202387996436613,-4.74289073269778,0.8376284843047754,-25.76626843638967,0,0,1,1
amgn,2013-08-16,C,73.56714630126953,73.66574056882507,71.77930539241378,2.7143109949473825,2.7707283662413196,-0.05641737129393709,999.0,0.42810253460306014,4.2497663773877425,11.38116064838577,7.930564938807417,10.875985328842553,4.256196991602691,9.567633934150276,-1.8592313853754483,33.5416521261449,15.835254772921957,0,0,0,0
amgn,2013-11-08,C,79.38743591308594,79.61698899373214,77.4098253241466,3.083667445479904,3.1097984408541937,-0.026130995374289867,999.0,0.32865639834585836,5.211233291912176,-0.5142775866923799,-0.9768106959135325,5.685788340171083,1.541713842701209,7.472598546725906,1.815104607826834,44.567703332958544,25.789841734442835,0,0,0,0
amgn,2024-02-23,C,270.0501708984375,272.75322674472756,264.47243918903536,11.4479868226461,12.181220086687619,-0.7332332640415178,28.0,0.26530943262853035,6.846066746650603,-1.6805846172066374,-4.997538230753906,7.645741825859731,6.655573433904816,15.215350789761196,4.24911405179067,-1.1886196457816078,-6.4886400309277725,1,1,1,1
jpm,2024-08-02,C,191.1102905273437,194.14802232765672,188.50577868629,8.298699722694863,8.920381121580224,-0.6216813988853609,999.0,0.29706978470997336,0.11410427964411163,6.688770359525975,5.288907466268866,12.30903587849963,3.2158362392870945,20.044202595147965,8.398700086741773,62.27647596682502,36.18889906411722,0,0,0,0
jpm,2026-01-16,C,309.4848022460937,313.19302957722664,305.5721524923213,11.034029823704884,11.508759993142498,-0.47473016943761337,999.0,0.2870479199304832,5.261333035012439,-0.5376485105605733,-0.2152462365874852,-9.482508871239848,-1.409428893350773,0.4796080305305317,-6.446380944344332,,,1,1,1,1
hd,2000-04-14,C,34.580291748046875,34.76854381303748,33.64519653259433,1.6732541838178605,1.7683325433309034,-0.09507835951304289,999.0,0.5159482849606691,0.7635485644187368,-14.419064456146579,-18.1874192558207,-20.26261729709027,-26.670612704221178,-19.26360637421931,-31.65995940468509,-15.374694319348137,-9.753305437231152,1,1,1,1
hd,2009-10-23,C,17.536283493041992,17.794713277191054,17.34976853501161,0.6099253398373996,0.6536852766644348,-0.04375993682703516,28.0,0.257996097075462,5.044275978592183,5.100856933436293,3.722223343401132,11.038732277557806,7.374754351975654,25.47576626351158,18.072285259580514,38.90550891374141,21.009033718837625,1,1,1,1
hd,2015-09-04,C,88.51334381103516,88.94255392690194,87.59901074862631,2.064885440234306,2.2073599025458135,-0.1424744623115073,999.0,0.5955062590524012,-7.176574592419205,6.039138841029201,0.9575395161176781,4.876775409229461,-0.8363414440827555,7.763837484434277,7.732572829127093,10.207358092459673,-3.1137893108871495,0,0,0,0
hd,2016-06-03,C,103.45877075195312,103.59097539376458,101.88832269557362,2.4289101913254143,2.5577991121495547,-0.12888892082414038,999.0,0.42063452124702183,2.82637955424645,1.9735633102732963,0.32060486205545136,3.66631938473283,-0.7639737014903725,-3.4088150419879892,-6.214245169720989,14.931122252581552,-5.498100790241335,1,1,1,1
hd,2016-08-26,C,105.51634979248048,105.71277827704125,104.34747709716122,1.940074919802413,1.9597483159622433,-0.019673396159830325,999.0,0.3543636697063022,3.510886265628388,-3.7363128721058514,-3.783509538512564,-9.548981763800324,-6.0115153599950455,1.557876187099838,-4.080629169907257,25.10690523858625,3.7770787755761575,1,1,1,1
gild,2025-08-29,C,110.10176849365234,110.54635954716612,107.55919914335999,4.294639655792295,4.417310118282108,-0.12267046248981295,56.0,0.4551352989147265,3.1518782989652605,0.44487456014752347,-3.588215518186444,5.926600028452134,1.6199246112385657,12.072383982575596,4.231590999340673,,,0,0,0,0
