date,open,high,low,close,volume,open_interest,settle
2026-06-16,76.07,76.25,72.63,73.52,43014,70747,73.15
2026-06-17,73.56,75.74,72.34,72.63,45770,70272,73.35
2026-06-18,72.8,73.46,70.85,72.89,32997,69401,73.3
2026-06-22,72.8,74.8,71.23,71.71,52970,68984,71.62
2026-06-23,71.71,72.06,70.59,71.18,31390,73865,71.3
2026-06-24,71.15,71.25,68.5,68.62,40867,73795,68.97
2026-06-25,68.56,71.05,67.8,70.15,43975,75945,70.52
2026-06-26,70.16,70.46,67.69,69.09,39042,78380,68.26
2026-06-29,69.2,69.84,68.3,69.36,28727,79585,69.57
2026-06-30,69.35,70.42,68.48,69.12,42938,79282,68.68
2026-07-01,69.1,69.25,67.77,67.82,46065,74526,68.29
2026-07-02,67.84,68.58,67.09,68.27,46732,76334,68.46
2026-07-06,68.27,69.03,67.7,68.53,40279,76272,68.49
2026-07-07,68.64,71.31,68.58,71.06,55518,74303,69.92
2026-07-08,71.47,74,70.66,73.2,108072,77899,72.2
2026-07-09,73.19,73.19,70.62,70.92,59160,80645,71.17
2026-07-10,70.65,72.09,70.19,70.94,48571,77910,70.9
2026-07-13,72.28,76.66,71.82,76.14,79693,78954,76.42
2026-07-14,76.13,78.01,75,76.75,144941,79706,76.35
2026-07-15,76.87,77.71,75.98,77.43,64432,81508,76.93
2026-07-16,77.04,77.96,76.12,76.93,48971,83517,76.34
2026-07-17,76.88,79.16,76,78.81,52380,85862,78.91
2026-07-20,80,80.8,77.06,79.19,79987,89582,79.28
2026-07-21,79.25,80.63,78.45,79.94,105101,91570,80
2026-07-22,80.85,81.54,79.77,80.64,147146,98382,80.81
2026-07-23,81.41,83.87,80.89,82.72,163825,105123,82.93
2026-07-24,82.95,83.11,80.7,82.24,114924,104995,81.73
2026-07-27,79.6,79.6,77.25,77.54,121950,103697,78.17
2026-07-28,77.59,78,74.52,75.25,108712,102881,75.33
2026-07-29,75.5,80.05,75.5,79.7,110119,106028,79.68
2026-07-30,79.46,79.71,77.71,78.51,92936,110647,78.19
2026-07-31,78.54,80.37,76.32,80.17,72708,114336,78.65
2026-08-03,76.08,76.69,74.4,75.57,85057,113256,75.68
2026-08-04,75.55,77.56,72.49,72.61,130743,113677,73.15
2026-08-05,72.79,74.04,72.05,72.76,110221,120486,72.94
2026-08-06,72.89,75.83,72.4,75.62,90802,127193,74.91
2026-08-07,75.09,76.15,74.16,75,90906,129455,75.96
2026-08-10,76.3,80.11,75.68,79.86,86081,131242,79.92
2026-08-11,79.73,81.61,78.79,80.37,100949,135533,80.31
2026-08-12,80.52,81.13,79.42,80.02,105016,135922,80.5
2026-08-13,80.02,80.52,78.06,79.02,90387,142347,79.07
2026-08-14,78.99,80.48,78.64,80.1,64145,150663,80.1
2026-08-17,80.22,82.69,79.51,82.65,81165,153984,82.41
2026-08-18,82.79,83.63,82.33,83.02,71340,154805,82.72
2026-08-19,83.11,84.05,82.1,82.7,87113,153256,82.81
2026-08-20,82.93,85.46,82.5,84.29,105318,160866,84.86
2026-08-21,84.35,85.46,84.03,84.85,115005,165648,85.16
2026-08-24,84.7,84.7,82.67,83.22,89959,172477,83.3
2026-08-25,83.27,84.07,78.97,79.7,115855,169638,80.88
2026-08-26,79.71,81.91,78.55,80.51,96342,173644,80.85
2026-08-27,80.63,82.68,79.34,81.97,94825,173295,81.97
2026-08-28,82.01,82.17,80.8,81.82,73241,172817,81.83
2026-08-31,82.89,84.84,82.47,84.36,101554,170876,84.06
2026-09-01,84.46,88.34,84.24,88.09,157044,173741,87.75
2026-09-02,87.98,89.51,86.63,87.89,137910,184940,88.28
2026-09-03,87.89,89.46,86.8,88.26,178974,183804,88.03
2026-09-04,88.35,88.84,85.92,88.18,137743,186786,88.57
2026-09-08,89.14,91.44,88.18,91.27,230094,197229,90.19
2026-09-09,91.3,93.59,90.81,93.31,168436,217508,92.87
2026-09-10,93.54,94.32,92.06,93.55,39981,226184,None
