market,type,date,dnet,dlong,dshort,share_long,cluster_len,retention_4w,pre4,pre8,net_after,fwd1,fwd2,fwd4,fwd8,fwd12
小麦 三合约合计,short_cover,2017-05-02,88256,-8880,-97136,-0.1006,2,1.1409,-0.0096,-0.0168,-91557,0.0031,0.0056,0.013,0.084,0.0059
小麦 三合约合计,short_cover,2017-06-13,207131,46283,-160848,0.2234,5,5.461,0.018,0.0252,-33425,0.0525,0.059,0.0281,-0.056,-0.0515
小麦 三合约合计,short_cover,2018-01-30,158736,-15353,-174089,-0.0967,6,1.7169,0.0317,0.034,-52001,0.0104,0.0021,0.0302,0.0107,0.0489
小麦 三合约合计,short_cover,2018-04-10,83804,33788,-50016,0.4032,5,2.6843,0.0013,-0.0029,27728,0.0222,0.0497,0.0433,0.0235,0.0056
小麦 三合约合计,short_cover,2018-07-31,52093,27337,-24756,0.5248,1,1.4126,0.0526,0.0342,92162,0.0136,-0.0311,-0.0533,-0.0432,-0.0578
小麦 三合约合计,short_cover,2018-12-18,23742,4478,-19264,0.1886,1,-0.4059,-0.0046,-0.0062,15514,0.0051,0.0092,0.0105,-0.0264,-0.0534
小麦 三合约合计,short_cover,2019-05-21,88760,-20895,-109655,-0.2354,3,3.1005,0.0794,0.0383,-61084,-0.0014,0.038,0.0197,-0.0131,-0.0407
小麦 三合约合计,short_cover,2020-03-17,19850,-42437,-62287,-2.1379,2,-2.3891,0.0515,0.0203,-27570,-0.0219,-0.015,-0.0423,-0.0668,-0.0959
小麦 三合约合计,short_cover,2020-07-14,45063,16070,-28993,0.3566,1,0.3849,0.0744,0.015,-30765,-0.0102,-0.0475,-0.0166,0.0293,0.0821
小麦 三合约合计,short_cover,2020-09-01,62688,25017,-37671,0.3991,1,0.8336,0.0365,-0.0024,48448,0.0376,0.0016,0.0539,0.0641,0.0281
小麦 三合约合计,short_cover,2021-07-20,29997,8598,-21399,0.2866,1,2.4332,0.0515,0.0148,57599,0.0162,0.0546,0.0141,0.0052,0.0382
小麦 三合约合计,short_cover,2023-06-20,73500,-8286,-81786,-0.1127,2,2.5285,0.1319,0.1109,-73740,-0.0983,-0.093,-0.0476,-0.1312,-0.1677
小麦 三合约合计,short_cover,2023-12-05,75970,-9980,-85950,-0.1314,2,1.8233,0.0681,0.0225,-124071,-0.0159,-0.0009,-0.0396,-0.0387,-0.1086
小麦 三合约合计,short_cover,2024-04-23,80557,-7184,-87741,-0.0892,2,4.8127,0.0529,0.0961,-112459,0.0481,0.034,0.0705,-0.0815,-0.147
小麦 三合约合计,short_cover,2024-09-10,54438,-27907,-82345,-0.5126,5,1.8292,0.0588,0.0351,-49117,0.0148,0.0293,0.0049,-0.047,-0.0502
小麦 三合约合计,short_cover,2025-02-04,82495,-32996,-115491,-0.4,3,0.2396,0.0933,0.1042,-113798,-0.0146,-0.0826,-0.0805,-0.084,-0.1499
