family,rank_type,rank,date,chg,level_after,prev_level,net_after
SRW 软红冬 (CBOT),空头砍仓,11,2015-06-09,-31901,139228,171130,-28085
SRW 软红冬 (CBOT),空头砍仓,12,2023-06-27,-31490,123490,154980,-43760
SRW 软红冬 (CBOT),空头砍仓,13,2023-06-20,-31357,154980,186337,-72546
SRW 软红冬 (CBOT),空头砍仓,14,2025-10-28,-29225,199250,228475,-54247
SRW 软红冬 (CBOT),空头砍仓,15,1996-01-30,-28095,31015,59111,105314
SRW 软红冬 (CBOT),空头砍仓,16,2012-06-26,-27651,97617,125268,25681
SRW 软红冬 (CBOT),空头砍仓,17,2026-02-24,-27198,148051,175249,-16191
SRW 软红冬 (CBOT),空头砍仓,18,2024-04-30,-27129,141733,168862,-26719
SRW 软红冬 (CBOT),空头砍仓,19,2020-07-14,-27021,100844,127864,11138
SRW 软红冬 (CBOT),空头砍仓,20,2016-03-15,-25512,179013,204524,-89999
SRW 软红冬 (CBOT),净多增加,1,1996-01-30,85050,105314,20264,105314
SRW 软红冬 (CBOT),净多增加,2,2015-06-30,55588,8223,-47365,8223
SRW 软红冬 (CBOT),净多增加,3,1998-01-06,53598,-15655,-69253,-15655
SRW 软红冬 (CBOT),净多增加,4,2012-05-22,53185,4127,-49058,4127
SRW 软红冬 (CBOT),净多增加,5,1995-04-11,52981,53520,539,53520
SRW 软红冬 (CBOT),净多增加,6,2018-01-30,50047,-65114,-115161,-65114
SRW 软红冬 (CBOT),净多增加,7,2017-06-20,49661,-24385,-74046,-24385
SRW 软红冬 (CBOT),净多增加,8,1997-04-15,43128,93020,49892,93020
SRW 软红冬 (CBOT),净多增加,9,2026-02-24,41381,-16191,-57572,-16191
SRW 软红冬 (CBOT),净多增加,10,2015-06-09,40028,-28085,-68113,-28085
SRW 软红冬 (CBOT),净多增加,11,2020-07-14,39140,11138,-28002,11138
SRW 软红冬 (CBOT),净多增加,12,2017-05-02,39073,-104219,-143292,-104219
SRW 软红冬 (CBOT),净多增加,13,1997-09-02,38556,46426,7870,46426
SRW 软红冬 (CBOT),净多增加,14,1995-05-02,38404,104607,66203,104607
SRW 软红冬 (CBOT),净多增加,15,2004-03-23,37913,40023,2110,40023
SRW 软红冬 (CBOT),净多增加,16,1996-03-26,36676,69499,32823,69499
SRW 软红冬 (CBOT),净多增加,17,2012-06-26,35793,25681,-10112,25681
SRW 软红冬 (CBOT),净多增加,18,2016-06-07,35740,-52875,-88615,-52875
SRW 软红冬 (CBOT),净多增加,19,1997-03-18,35421,29612,-5809,29612
SRW 软红冬 (CBOT),净多增加,20,2017-02-14,34881,-14365,-49246,-14365
HRW 硬红冬 (CBOT),多头增仓,1,1995-06-27,12738,34607,21869,33252
HRW 硬红冬 (CBOT),多头增仓,2,2017-04-04,12721,97920,85199,2072
HRW 硬红冬 (CBOT),多头增仓,3,1997-10-21,11770,16621,4851,-5010
HRW 硬红冬 (CBOT),多头增仓,4,1996-01-30,11022,19740,8718,13030
HRW 硬红冬 (CBOT),多头增仓,5,1997-04-29,10889,43392,32503,36461
HRW 硬红冬 (CBOT),多头增仓,6,2006-04-11,10275,50807,40532,47225
HRW 硬红冬 (CBOT),多头增仓,7,2026-02-24,9898,93357,83459,8988
HRW 硬红冬 (CBOT),多头增仓,8,2017-07-11,9710,114115,104405,92510
HRW 硬红冬 (CBOT),多头增仓,9,1997-09-02,9634,24802,15168,14815
HRW 硬红冬 (CBOT),多头增仓,10,2006-06-27,9583,64173,54590,59623
HRW 硬红冬 (CBOT),多头增仓,11,2019-01-22,9254,89620,80366,4451
HRW 硬红冬 (CBOT),多头增仓,12,2015-06-30,9189,56572,47383,74
HRW 硬红冬 (CBOT),多头增仓,13,2023-07-25,9184,49351,40168,18240
HRW 硬红冬 (CBOT),多头增仓,14,2011-04-05,9057,65284,56227,56942
HRW 硬红冬 (CBOT),多头增仓,15,1997-02-25,9004,26653,17649,21113
HRW 硬红冬 (CBOT),多头增仓,16,2026-09-01,8829,90593,81764,31445
HRW 硬红冬 (CBOT),多头增仓,17,1995-12-12,8665,21705,13040,16636
HRW 硬红冬 (CBOT),多头增仓,18,2006-01-31,8648,53115,44467,50114
HRW 硬红冬 (CBOT),多头增仓,19,2021-08-10,8415,78262,69847,40865
HRW 硬红冬 (CBOT),多头增仓,20,2026-08-25,8218,81764,73546,21543
HRW 硬红冬 (CBOT),空头砍仓,1,2018-02-06,-28822,65847,94669,32219
HRW 硬红冬 (CBOT),空头砍仓,2,1998-01-06,-28101,5913,34014,-5509
HRW 硬红冬 (CBOT),空头砍仓,3,2017-06-20,-25172,45010,70182,56957
HRW 硬红冬 (CBOT),空头砍仓,4,2024-04-30,-23536,73803,97339,-21552
HRW 硬红冬 (CBOT),空头砍仓,5,2017-05-02,-23248,89085,112333,9043
HRW 硬红冬 (CBOT),空头砍仓,6,2025-06-24,-20512,79949,100460,-31025
HRW 硬红冬 (CBOT),空头砍仓,7,2016-03-15,-20258,71289,91547,-22005
HRW 硬红冬 (CBOT),空头砍仓,8,2017-01-10,-20105,59648,79754,24241
HRW 硬红冬 (CBOT),空头砍仓,9,2019-06-04,-19491,77192,96682,-9694
HRW 硬红冬 (CBOT),空头砍仓,10,2025-10-28,-18275,115489,133764,-32161
HRW 硬红冬 (CBOT),空头砍仓,11,2020-09-01,-17929,60667,78596,9141
HRW 硬红冬 (CBOT),空头砍仓,12,2017-05-09,-17742,71344,89085,22858
HRW 硬红冬 (CBOT),空头砍仓,13,2016-04-26,-17657,67034,84692,-6727
HRW 硬红冬 (CBOT),空头砍仓,14,2018-01-30,-17477,94669,112145,12322
HRW 硬红冬 (CBOT),空头砍仓,15,2024-10-08,-16472,57658,74131,3287
HRW 硬红冬 (CBOT),空头砍仓,16,2025-11-18,-16297,78875,95172,-4326
HRW 硬红冬 (CBOT),空头砍仓,17,2017-06-13,-15061,70182,85243,33233
HRW 硬红冬 (CBOT),空头砍仓,18,2025-11-04,-14991,100498,115489,-24534
HRW 硬红冬 (CBOT),空头砍仓,19,2018-03-06,-14616,47475,62091,41536
HRW 硬红冬 (CBOT),空头砍仓,20,2020-03-24,-14565,51546,66111,-6286
HRW 硬红冬 (CBOT),净多增加,1,1998-01-06,26355,-5509,-31864,-5509
HRW 硬红冬 (CBOT),净多增加,2,2020-09-01,24080,9141,-14939,9141
HRW 硬红冬 (CBOT),净多增加,3,2017-06-20,23724,56957,33233,56957
HRW 硬红冬 (CBOT),净多增加,4,2018-02-06,19897,32219,12322,32219
HRW 硬红冬 (CBOT),净多增加,5,2017-06-13,19440,33233,13793,33233
HRW 硬红冬 (CBOT),净多增加,6,2005-03-01,18826,7527,-11299,7527
HRW 硬红冬 (CBOT),净多增加,7,2017-07-11,17994,92510,74516,92510
HRW 硬红冬 (CBOT),净多增加,8,2016-04-26,17794,-6727,-24521,-6727
HRW 硬红冬 (CBOT),净多增加,9,2018-01-30,17359,12322,-5037,12322
