rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
323,ADP,Automatic Data Processing,20260908,267.96,43.9,67.1,67.4,42.5,73.5,290.36,187.37,-7.7,-2.1,19.6,260
324,CROX,Crocs,20260908,114.35,34.2,38.8,57.3,33.3,68.9,141.19,73.39,-19.0,-17.3,-9.2,260
325,EFX,Equifax,20260908,171.62,38.8,56.4,56.6,34.9,64.6,259.37,151.49,-33.8,-4.9,7.9,260
326,CHRW,C.H. Robinson Worldwide,20260908,150.1,46.8,42.5,31.7,25.3,72.3,208.52,122.52,-28.0,1.7,-21.1,260
327,CDE,Coeur Mining,20260908,20.66,56.0,60.3,60.7,35.0,71.1,27.12,13.8,-23.8,13.8,26.0,260
328,BBIO,BridgeBio Pharma,20260908,74.76,32.0,36.8,61.5,32.0,86.8,90.17,49,-17.1,-11.7,10.7,260
329,ACMR,ACM Research,20260908,76.91,48.2,40.1,45.6,34.2,73.6,126.89,26.97,-39.4,-3.1,-16.1,260
330,ALGM,Allegro Microsystems,20260908,36.47,38.5,35.6,40.8,29.7,69.5,69.62,22.8,-47.6,-14.1,-24.0,260
331,VIK,Viking Holdings,20260908,88.08,38.3,30.1,54.9,28.8,76.3,108.26,57.08,-18.6,-15.1,-5.5,260
332,TJX,TJX Companies,20260908,128.92,19.7,22.2,53.2,19.7,70.6,167.88,128.92,-23.2,-18.6,-23.2,260
333,MGM,MGM Resorts International,20260908,40.74,29.7,27.7,35.8,25.1,72.2,50.69,30.72,-19.6,-6.0,-13.7,260
334,KMX,CarMax,20260908,60.57,51.1,57.0,61.0,51.1,78.8,64.22,30.88,-5.7,3.0,17.5,260
335,AS,Amer Sports,20260908,28.69,32.2,34.4,54.2,27.4,60.0,41.96,28.51,-31.6,-20.7,-19.4,260
336,SHECY,Shin-Etsu Chemical (ADR),20260908,18.45,41.0,41.3,45.2,26.9,57.0,24.56,13.64,-24.9,-5.7,-15.8,260
337,IQV,IQVIA Holdings,20260908,259.21,59.2,71.5,67.2,39.8,80.8,271.62,156.66,-4.6,7.1,43.2,260
338,MNST,Monster Beverage,20260908,43.15,31.0,42.6,40.8,31.0,77.1,49.97,31.41,-13.6,-5.6,-6.2,260
339,PINS,Pinterest,20260908,20.14,30.6,39.1,58.2,30.6,70.7,37.95,15.42,-46.9,-17.4,-6.3,260
340,DUK,Duke Energy,20260908,121.24,46.4,39.3,36.7,36.7,62.4,131.16,111.09,-7.6,0.9,-1.5,260
341,COKE,Coca-Cola Consolidated,20260908,188.28,47.2,57.7,50.6,42.1,62.9,216.33,111.2,-13.0,1.5,1.2,260
342,RELY,Remitly Global,20260908,24.83,46.8,60.7,48.4,41.9,71.6,26.92,12.2,-7.8,7.3,32.1,260
343,VSAT,Viasat,20260908,77.75,55.6,36.8,60.4,35.6,69.2,89.81,28.41,-13.4,-8.3,6.9,260
344,RVMD,Revolution Medicines,20260908,207.32,52.6,52.3,68.2,50.8,78.1,221.15,40.45,-6.3,0.2,38.9,260
345,NTNX,Nutanix,20260908,67.49,59.6,65.9,75.1,43.6,80.1,81.12,34.41,-16.8,4.7,37.1,260
346,BROS,Dutch Bros,20260908,45.88,32.3,33.6,26.3,24.5,77.1,73.31,45.88,-37.4,-10.5,-29.4,260
347,RIO,Rio Tinto,20260908,103.83,60.8,58.0,64.4,30.1,71.3,109.63,58.89,-5.3,4.1,2.4,260
348,COP,ConocoPhillips,20260908,135.04,64.4,65.3,63.3,30.0,74.6,137.2,83.04,-1.6,10.5,17.8,260
349,SN,SharkNinja,20260908,175.13,47.9,72.3,78.7,45.6,79.3,192.86,84.57,-9.2,-5.9,29.2,260
350,NXT,Nextpower,20260908,85.45,40.4,33.8,49.2,33.2,51.2,156.4,64.33,-45.4,-17.0,-28.6,260
351,CNH,CNH Industrial,20260908,13.6,67.5,61.8,46.7,40.7,79.2,14.4,9.13,-5.6,29.8,31.3,260
352,ROKU,Roku Inc,20260908,155.34,54.3,62.8,72.2,54.3,78.8,159.76,82.93,-2.8,2.3,29.8,260
353,CNQ,Canadian Natural Resources,20260908,50.9,60.8,61.7,60.7,27.9,74.2,51.81,28.93,-1.8,7.7,13.2,260
354,RIG,Transocean,20260908,5.76,51.2,57.1,62.3,27.7,67.8,7.58,3.08,-24.0,0.7,-4.5,260
361,ASND,Ascendis Pharma A/S,20260908,270.09,64.4,61.0,54.5,39.8,76.0,277.18,189.74,-2.6,5.7,25.3,260
362,ICE,Intercontinental Exchange,20260908,157.76,52.6,66.2,60.6,21.8,77.0,173.95,122.91,-9.3,4.8,13.9,260
363,DKNG,DraftKings,20260908,23.87,45.5,46.9,50.4,32.3,65.5,46.32,20.72,-48.5,-1.6,-20.5,260
364,KGC,Kinross Gold,20260908,30.15,54.3,60.2,66.4,34.9,79.7,37.82,22.05,-20.3,10.3,21.6,260
365,TEL,TE Connectivity,20260908,204.99,48.3,48.6,57.2,40.5,62.5,245.75,194.33,-16.6,-4.0,-0.9,260
366,RPRX,Royalty Pharma,20260908,60.59,50.1,60.5,52.8,46.0,70.0,63.96,34.24,-5.3,4.9,10.0,260
