date,open,high,low,close,volume,position
2019-06-19,530.000,531.000,514.250,521.501,0,0
2019-06-20,520.250,529.000,515.500,526.751,0,0
2019-06-21,527.500,529.750,523.000,526.000,0,0
2019-06-24,526.000,540.000,522.250,538.001,0,0
2019-06-25,540.250,545.500,534.000,535.501,0,0
2019-06-26,534.750,545.250,532.250,544.001,0,0
2019-06-27,543.250,555.250,541.250,547.251,0,0
2019-06-28,547.000,558.000,525.750,528.000,0,0
2019-07-01,529.500,530.750,508.500,511.000,0,0
2019-07-02,511.750,515.750,505.500,505.500,0,0
2019-07-03,507.250,514.500,501.000,511.750,0,0
2019-07-05,514.000,517.000,505.250,516.750,0,0
2019-07-08,517.250,519.000,507.250,510.750,0,0
2019-07-09,503.750,511.000,498.750,502.000,0,0
2019-07-10,504.750,506.750,498.000,504.500,0,0
2019-07-11,502.250,523.000,500.250,520.750,0,0
2019-07-12,520.500,525.750,516.750,522.750,0,0
2019-07-15,516.000,531.500,506.000,508.750,0,0
2019-07-16,506.000,510.000,501.000,507.500,0,0
2019-07-17,512.000,514.000,502.000,504.750,0,0
2019-07-18,499.500,505.250,493.000,493.750,0,0
2019-07-19,496.750,516.750,492.500,502.750,0,0
2019-07-22,499.750,505.250,487.000,487.750,0,0
2019-07-23,490.000,493.500,483.250,487.250,0,0
2019-07-24,496.250,498.750,487.250,496.750,0,0
2019-07-25,495.500,507.000,492.250,500.000,0,0
2019-07-26,495.000,500.250,493.500,495.750,0,0
2019-07-29,503.000,507.250,492.500,501.750,0,0
2019-07-30,498.250,503.250,495.000,496.500,0,0
2019-07-31,492.500,500.500,484.500,486.500,0,0
2019-08-01,484.750,488.500,471.750,478.750,0,0
2019-08-02,477.250,491.500,476.000,490.750,0,0
2019-08-05,481.500,495.000,479.250,493.750,0,0
2019-08-06,492.250,495.750,482.750,484.500,0,0
2019-08-07,482.000,490.250,477.500,489.750,0,0
2019-08-08,490.500,502.750,486.000,498.250,0,0
2019-08-09,503.250,505.250,496.000,500.000,0,0
2019-08-12,494.000,502.000,466.500,472.000,0,0
2019-08-13,468.250,478.750,465.500,472.500,0,0
2019-08-14,474.000,480.000,471.250,474.750,0,0
2019-08-15,477.000,482.000,473.250,475.250,0,0
2019-08-16,475.750,478.750,474.000,476.500,0,0
2019-08-19,474.750,476.750,471.000,471.000,0,0
2019-08-20,475.500,475.750,463.500,465.000,0,0
2019-08-21,463.500,468.750,461.750,468.250,0,0
2019-08-22,469.500,474.500,466.000,471.750,0,0
2019-08-23,468.250,478.500,465.750,477.000,0,0
2019-08-26,479.250,481.250,472.750,474.750,0,0
2019-08-27,474.000,479.750,472.750,477.500,0,0
2019-08-28,471.000,478.250,468.750,475.500,0,0
2019-08-29,473.250,477.500,471.750,472.750,0,0
2019-08-30,466.250,472.750,459.250,461.250,0,0
2019-09-02,474.000,477.750,467.000,466.750,0,0
2019-09-03,459.750,463.000,450.500,453.750,0,0
2019-09-04,456.500,465.000,454.000,460.250,0,0
2019-09-05,466.750,469.500,460.250,466.750,0,0
2019-09-06,462.500,466.750,460.250,462.500,0,0
2019-09-09,461.000,476.000,460.250,474.500,0,0
2019-09-10,479.250,483.500,473.750,482.500,0,0
2019-09-11,480.750,482.500,475.000,476.500,0,0
2019-09-12,478.750,486.000,472.500,483.750,0,0
2019-09-13,488.750,491.000,480.500,482.500,0,0
2019-09-16,482.250,490.000,482.250,488.250,0,0
2019-09-17,483.250,487.750,480.750,484.750,0,0
2019-09-18,483.500,492.500,481.750,489.500,0,0
2019-09-19,488.750,492.000,484.500,487.000,0,0
2019-09-20,489.000,491.250,483.500,484.500,0,0
2019-09-23,487.250,487.500,481.250,481.500,0,0
2019-09-24,479.500,484.250,477.500,480.750,0,0
2019-09-25,479.250,482.250,476.250,477.500,0,0
2019-09-26,483.500,486.750,476.750,485.750,0,0
2019-09-27,486.750,490.500,482.500,486.750,0,0
2019-09-30,486.000,501.000,483.250,495.500,0,0
2019-10-01,491.750,499.250,489.750,497.250,0,0
2019-10-02,494.250,499.000,485.250,488.000,0,0
2019-10-03,486.500,493.000,485.750,488.250,0,0
2019-10-04,487.750,492.250,486.500,490.750,0,0
2019-10-07,489.750,494.500,488.500,489.500,0,0
2019-10-08,487.250,502.250,486.750,500.250,0,0
2019-10-09,499.500,504.500,497.250,501.000,0,0
2019-10-10,503.250,504.250,487.500,491.250,0,0
2019-10-11,497.000,512.750,491.250,509.500,0,0
2019-10-14,508.500,515.000,506.750,510.750,0,0
2019-10-15,507.500,511.250,504.250,506.750,0,0
2019-10-16,507.250,514.250,504.500,514.000,0,0
2019-10-17,520.000,527.000,512.750,524.750,0,0
2019-10-18,523.000,532.750,521.000,530.500,0,0
2019-10-21,534.750,535.000,522.750,524.000,0,0
2019-10-22,527.500,532.250,517.250,517.500,0,0
2019-10-23,515.750,523.750,515.750,521.250,0,0
2019-10-24,518.750,523.750,515.500,516.750,0,0
