slice_id,start,end,length,ongoing,th,sector,标签,稳健,确认日偏移,区间涨跌pct,全局ER,上行ER,上行ER中位,n_up,low_n_up,下行ER,下行ER中位,n_dn,low_n_dn,EP05,EP06,ER20最大,HV20,静态corr,corr60均值,corr60最低,up分位,dn分位,hist80高up,hist80高dn,标签th3,标签th8
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLV,中性/混合,,39,7.285355159355178,0.11483446578781575,0.7389203795946422,0.7904768434404037,3,False,0.4138395935006082,0.41726398345785365,3,False,14,6,0.7292050407601292,12.285563803978246,0.9138810715274233,0.8570187353064019,0.7520261439062509,0.875,0.16666666666666666,False,False,中性/混合,跟随震荡
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLY,中性/混合,,39,8.503013976731499,0.12098483596936398,0.5547446121766668,0.6847862748370277,4,False,0.6119431376215814,0.5085567449466155,3,False,7,6,0.7932112907254737,12.899181309277097,0.9460202271497561,0.9345295198731419,0.9104343109444921,0.5,0.8333333333333334,False,False,中性/混合,跟随震荡
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLB,中性/混合,,39,7.988805143578026,0.11884614268045104,0.3492678125356292,0.35723546534395745,3,False,0.547558805844982,0.547558805844982,2,True,5,4,0.7484068442190558,13.373328094269162,0.8958761598419158,0.8785056829728347,0.8259465765933202,0.5,,False,False,中性/混合,跟随震荡
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLE,中性/混合,,-1,10.298178277635483,0.16191591118606258,0.18416221105210784,0.18416221105210784,2,True,0.7418515496563894,0.7418515496563894,1,True,2,0,0.5454555703366316,12.889348947893618,0.7932617170246604,0.8092218932351036,0.7067147453446203,,,False,False,中性/混合,中性/混合
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLF,高波动跟随,,-1,1.3273968534266434,0.020716607599843798,0.2610726241542771,0.2608707141970528,3,False,0.6460935320966026,0.6460935320966026,2,True,4,0,0.5732529342449485,13.857292737491184,0.919694104818932,0.9130668992316444,0.8751597620967588,0.16666666666666666,,False,False,高波动跟随,高波动跟随
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLI,高波动跟随,,-1,4.6132220319587525,0.07165690397927235,0.2987254626174323,0.3531011542687349,3,False,0.6121337659044375,0.6121337659044375,2,True,4,0,0.5891215088405023,13.718203194748497,0.9454342006207198,0.9414268803826965,0.8875299123264826,0.3333333333333333,,False,False,高波动跟随,高波动跟随
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLK,中性/混合,,-1,7.425095608656185,0.11485256296860755,0.39600809008814436,0.3794073450117256,3,False,0.5394761025053452,0.5394761025053452,2,True,4,3,0.6093830103150457,13.137943619582602,0.9151272350953154,0.8890949105416186,0.7754351158357412,0.6666666666666666,,False,False,中性/混合,跟随震荡
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLP,跟随震荡,,-1,5.936355226896928,0.14114392723779873,0.3662489362675838,0.3662489362675838,1,True,0.6176475565732779,0.6176475565732779,1,True,4,1,0.6175841083011298,9.070292730898952,0.7997947356476983,0.7962420080749357,0.7082049778864155,,,False,False,跟随震荡,跟随震荡
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLU,中性/混合,,-1,12.01930891151115,0.19750124027266652,0.32312789204338815,0.32312789204338815,1,True,0.15271318874584827,0.15271318874584827,1,True,2,1,0.6066496823992633,11.677621004550803,0.3248119669302094,0.4718967915112446,0.11947350486521195,,,False,False,中性/混合,中性/混合
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLV,高波动跟随,,-1,5.456976578511852,0.07780500101573101,0.4662993830278063,0.37475749952891924,3,False,0.36693183589586087,0.36693183589586087,2,True,4,2,0.6574968409806333,14.528523560782167,0.8752112835841975,0.8736708354680056,0.8128904081524608,0.8333333333333334,,False,False,高波动跟随,高波动跟随
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,96,False,0.03,XLY,高波动跟随,,39,-0.7740716325268404,0.011344462272759646,0.5822242650847548,0.7247717684704649,3,False,0.5828429377179326,0.5681877563075804,3,False,5,4,0.7097950548331237,14.065528763283234,0.9207233712221934,0.913696116365326,0.8731089261731533,1.0,1.0,False,False,高波动跟随,高波动跟随
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLB,高波动跟随,临界,157,-19.321017408388876,0.06078732887781863,0.4530279505550014,0.39707056480629954,6,False,0.47253212906332215,0.43303126615121457,6,False,5,1,0.6677887833284343,16.70781683908098,0.8543291025938289,0.8476715219746874,0.6744067484977112,0.7777777777777778,0.3333333333333333,False,False,弱势独立下跌,弱势独立下跌
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLE,弱势独立下跌,稳健,57,-38.54984281450885,0.10763663487816064,0.6181267766411879,0.4938012530777418,8,False,0.5203597045419099,0.44299128684115346,7,False,7,3,0.7722762194216147,23.350847474943425,0.7195222757498182,0.6915336433454367,0.4790192467086595,1.0,0.7777777777777778,False,False,弱势独立下跌,弱势独立下跌
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLF,中性/混合,,85,-1.3402941375439403,0.004085461903538335,0.3982845409540169,0.3197452718486994,5,False,0.36260357065497434,0.3555196570587117,5,False,14,6,0.756274327984451,15.505555561483678,0.9311630970475532,0.9126333963936843,0.8335227188264669,0.5555555555555556,0.1111111111111111,False,False,中性/混合,中性/混合
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLI,中性/混合,,84,-4.1111236620446245,0.013825894869554383,0.5039022942724612,0.4187212618886601,6,False,0.49622886942289063,0.5077428703543605,6,False,14,7,0.7535749261372496,14.98386182328529,0.9351945037602694,0.925408741436535,0.8460454880721373,0.8888888888888888,0.5555555555555556,False,False,中性/混合,跟随震荡
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLK,中性/混合,,84,8.754839351913413,0.026679131928553992,0.41591940382461273,0.2546328560481404,5,False,0.3630293995642893,0.36957744353682787,5,False,15,14,0.8915342432169705,15.722611930564682,0.9373758111875681,0.9240933048611353,0.879483237073289,0.6666666666666666,0.2222222222222222,False,False,中性/混合,跟随震荡
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLP,强势独立上涨,稳健,34,18.004160354746723,0.06664891180098244,0.24070911137253684,0.3072535704734889,3,False,0.5484575874242502,0.7419330430275468,3,False,16,12,0.907825606268176,12.28668041372372,0.8605835472680203,0.8217380154391325,0.638569290733723,0.2222222222222222,0.8888888888888888,False,False,强势独立上涨,强势独立上涨
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLU,中性/混合,临界,-1,13.355190116928007,0.04016224833137082,0.37198180527569297,0.376301433300539,6,False,0.4865719723087822,0.42799009664315546,5,False,2,0,0.5657979870263502,16.03303305698536,0.5590884562448588,0.5120636520577453,0.03729761240368796,0.4444444444444444,0.4444444444444444,False,False,中性/混合,强势独立上涨
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLV,强势独立上涨,稳健,37,12.385030374930572,0.03215655724270708,0.2386761545660554,0.22902885200305215,4,False,0.5814546973733807,0.4817990384751436,4,False,8,5,0.8100527751243689,16.858123260212793,0.8542384973822948,0.8562769741329245,0.7265700193591992,0.1111111111111111,1.0,False,True,强势独立上涨,强势独立上涨
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,388,False,0.05,XLY,中性/混合,,92,13.263059224764163,0.04001759722440915,0.2930682563806372,0.29655945475398543,4,False,0.5101810432770594,0.5349201439412584,4,False,7,4,0.7732837328567516,14.753530155951381,0.9221678520295536,0.9110262098009569,0.8482160777003396,0.3333333333333333,0.6666666666666666,False,False,中性/混合,中性/混合
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLB,高波动跟随,,-1,2.141963483051512,0.024898513297962242,0.37942702435419423,0.37942702435419423,2,True,0.3233135648756705,0.3233135648756705,2,True,3,0,0.5973324423256823,15.022579636176415,0.8381478456164686,0.8274459876946667,0.7129859425326617,,,False,False,高波动跟随,高波动跟随
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLE,中性/混合,,-1,6.216039813130014,0.052260063681032344,0.5202869795345053,0.5226961769077845,4,False,0.38786799083760115,0.414916102717837,4,False,1,0,0.5072712178514258,20.180302483317437,0.690688104101241,0.6849685920582764,0.5734995700990351,1.0,1.0,False,False,中性/混合,跟随震荡
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLF,高波动跟随,,-1,8.076282166309978,0.09645739149673656,0.34026784917828423,0.34026784917828423,2,True,0.5347941240888887,0.5347941240888887,1,True,2,1,0.6214670011341346,14.773794674929741,0.887560007379244,0.8849918900385605,0.7980118860415367,,,False,False,高波动跟随,高波动跟随
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLI,跟随震荡,,-1,5.599883786053517,0.07804325183785783,0.26904809899235166,0.26904809899235166,2,True,0.5830074397061428,0.5830074397061428,1,True,2,1,0.6442315756225838,12.726767283941587,0.9384828331838815,0.9223517036999709,0.8283399835485691,,,False,False,中性/混合,跟随震荡
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLK,中性/混合,,52,11.770752152961904,0.15473949366383308,0.34546605999303415,0.34546605999303415,2,True,0.5132589688688232,0.5132589688688232,1,True,16,10,0.7449636847774697,12.117284184409836,0.9454889235046477,0.9196956900951109,0.8452226826637375,,,False,False,中性/混合,中性/混合
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLP,跟随震荡,,-1,-0.43784348943058937,0.007064419848935466,0.19810390372051678,0.19810390372051678,1,True,0.13001913987092834,0.13001913987092834,1,True,0,0,0.4717634006033241,10.64654646857609,0.6966698654619875,0.6582265684766253,0.5334448710126459,,,False,False,跟随震荡,跟随震荡
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLRE,跟随震荡,,26,-4.193973439179743,0.05005879014108795,0.5466877108609325,0.5466877108609325,2,True,0.37818363870836924,0.37818363870836924,2,True,5,0,0.5775751585151958,14.078070124455762,0.5841147585140869,0.5653507999804782,0.4445912342664534,,,False,False,中性/混合,跟随震荡
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLU,跟随震荡,,33,1.1019540407631645,0.012017774504394108,0.5135985206140787,0.5135985206140787,2,True,0.2030469414712194,0.2030469414712194,2,True,7,2,0.6459787457749968,14.655331272427638,0.3682222894470469,0.26742416893458065,0.02428490868497405,,,False,False,中性/混合,跟随震荡
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLV,跟随震荡,,52,-1.6681090009282196,0.021870097161183173,0.6072218647241922,0.6072218647241922,2,True,0.35954987879777817,0.35954987879777817,2,True,7,6,0.7920629392486226,12.37356188180013,0.843024035275316,0.8240638786482196,0.6811441030039714,,,False,False,中性/混合,跟随震荡
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,124,False,0.05,XLY,跟随震荡,,-1,1.019481948436951,0.014673216304984122,0.35304713842697943,0.35304713842697943,2,True,0.308021820534955,0.308021820534955,2,True,2,1,0.6471684687425898,12.135943919300283,0.9339314713584261,0.9148177393664115,0.8664176775069597,,,False,False,跟随震荡,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLB,高波动跟随,,-1,-2.7955123528035086,0.020560344795801325,0.5487541272500162,0.5302860922256057,5,False,0.5748318998162322,0.6283453282023209,4,False,2,0,0.5486731033783694,17.04493913903339,0.8699939477114973,0.8418066599687607,0.6348336645391685,0.7142857142857143,0.6666666666666666,False,False,高波动跟随,高波动跟随
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLE,跟随震荡,,-1,-1.7439769765933977,0.011970999392454008,0.5237717867784045,0.5237717867784045,1,True,0.18146194196199866,0.18146194196199866,2,True,3,1,0.6091779396462019,19.178235385608538,0.6734717517149417,0.6345341916363962,0.38164941210556314,,,False,False,中性/混合,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLF,高波动跟随,,4,-2.289868315441579,0.017851501067484326,0.4071040697246655,0.35368682038088406,4,False,0.6466263692203468,0.6283890965959115,3,False,9,6,0.7209189616301498,17.20586133389279,0.8602744585527626,0.7925519136333986,0.48450287850754964,0.42857142857142855,1.0,False,False,高波动跟随,高波动跟随
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLI,中性/混合,,4,1.6866450666480848,0.013485518698413471,0.6030237433272503,0.594749576766912,4,False,0.5685522470252193,0.6870491459998499,3,False,6,5,0.6470606499397368,16.306905232522432,0.8836365203914073,0.8591468887068917,0.6617616771935807,0.8571428571428571,0.3333333333333333,False,False,中性/混合,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLK,高波动跟随,,-1,10.083550358569958,0.06779548247966907,0.38508795313536076,0.35961396541671836,3,False,0.5346415648000968,0.5346415648000968,2,True,3,1,0.6028894710106693,17.622877131641197,0.9365065486981479,0.9064897457196569,0.7425187269703248,0.2857142857142857,,False,False,高波动跟随,高波动跟随
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLP,跟随震荡,,-1,-3.9656452821280386,0.040782326062704925,0.3286384247942007,0.3286384247942007,2,True,0.3078663728191228,0.3078663728191228,1,True,2,0,0.5349499251150807,13.042794373649517,0.6637200952699225,0.5879034155771448,0.18336641955420385,,,False,False,跟随震荡,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLRE,跟随震荡,,-1,7.071623368542035,0.060500082812376635,0.2217667716085413,0.2217667716085413,2,True,1.0,1.0,1,True,1,0,0.5230383678457998,13.950868459343694,0.5504740128501661,0.4890334384367441,0.19448778424884552,,,False,True,中性/混合,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLU,跟随震荡,,-1,8.740610444256491,0.0726602134126817,0.357488375670251,0.24660502813417232,3,False,0.5424355250687929,0.5424355250687929,2,True,4,2,0.9013233352810031,13.820158413964215,0.23321963170539012,0.14310315763821524,-0.28937635175378773,0.14285714285714285,,False,False,中性/混合,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLV,中性/混合,,4,7.0791559034021345,0.062401452496635625,0.45642613981715313,0.3505688831314847,3,False,0.6903045577062952,0.6903045577062952,2,True,7,6,0.7585670493857319,14.272166952949465,0.904575081694134,0.875421818365031,0.6855508132146836,0.5714285714285714,,False,True,中性/混合,跟随震荡
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,170,False,0.05,XLY,中性/混合,,4,10.446429083540387,0.08681008416135116,0.625899358605812,0.7720922131522199,3,False,0.46528947075133975,0.46528947075133975,2,True,9,8,0.7485066957883941,14.31404636499385,0.9123789651116151,0.8838952462464034,0.6886592567108019,1.0,,False,False,中性/混合,中性/混合
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,130,False,0.05,XLB,中性/混合,,43,2.406122958412671,0.02282459137580229,0.5693008340634704,0.4903845413845647,3,False,0.4012652221964214,0.38588091360499693,3,False,7,2,0.6814539114106547,16.330135216382576,0.8049828897462019,0.8004388989149381,0.694871659148527,1.0,0.4,False,False,中性/混合,跟随震荡
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,130,False,0.05,XLC,高波动跟随,,-1,1.5773384097308218,0.0144665646862815,0.40280349806541693,0.46212185572565456,3,False,0.2710899547695779,0.31675056128189216,3,False,4,0,0.5989019144067927,17.609997477901562,0.8728241121581051,0.8257851478987295,0.6336251108755281,0.42857142857142855,0.2,False,False,高波动跟随,高波动跟随
