slice_id,start,end,sector,区间涨跌pct,标签,稳健,标签th3,标签th8,EP05,EP06,全局ER,上行ER,下行ER,n_up,n_dn,corr60均值,corr60最低,HV20
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLB,6.044,高波动跟随,,高波动跟随,高波动跟随,1,1,0.086,0.547,0.389,2,2,0.862,0.791,13.845
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLE,5.391,中性/混合,,中性/混合,跟随震荡,1,1,0.078,0.618,0.509,3,3,0.839,0.732,13.635
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLF,3.398,高波动跟随,,高波动跟随,高波动跟随,5,1,0.045,0.832,0.592,4,4,0.934,0.902,14.722
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLI,7.568,高波动跟随,,高波动跟随,高波动跟随,3,1,0.106,0.519,0.639,4,3,0.931,0.903,13.643
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLK,3.235,跟随震荡,,跟随震荡,跟随震荡,0,0,0.058,0.371,0.448,3,2,0.833,0.728,11.138
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLP,1.686,中性/混合,,中性/混合,跟随震荡,4,3,0.03,0.578,0.535,3,3,0.81,0.719,11.669
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLU,1.485,跟随震荡,,跟随震荡,跟随震荡,3,1,0.022,0.268,0.757,3,2,0.665,0.52,14.214
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLV,7.285,中性/混合,,中性/混合,跟随震荡,14,6,0.115,0.739,0.414,3,3,0.857,0.752,12.286
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,XLY,8.503,中性/混合,,中性/混合,跟随震荡,7,6,0.121,0.555,0.612,4,3,0.935,0.91,12.899
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLB,7.989,中性/混合,,中性/混合,跟随震荡,5,4,0.119,0.349,0.548,3,2,0.879,0.826,13.373
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLE,10.298,中性/混合,,中性/混合,中性/混合,2,0,0.162,0.184,0.742,2,1,0.809,0.707,12.889
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLF,1.327,高波动跟随,,高波动跟随,高波动跟随,4,0,0.021,0.261,0.646,3,2,0.913,0.875,13.857
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLI,4.613,高波动跟随,,高波动跟随,高波动跟随,4,0,0.072,0.299,0.612,3,2,0.941,0.888,13.718
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLK,7.425,中性/混合,,中性/混合,跟随震荡,4,3,0.115,0.396,0.539,3,2,0.889,0.775,13.138
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLP,5.936,跟随震荡,,跟随震荡,跟随震荡,4,1,0.141,0.366,0.618,1,1,0.796,0.708,9.07
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLU,12.019,中性/混合,,中性/混合,中性/混合,2,1,0.198,0.323,0.153,1,1,0.472,0.119,11.678
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLV,5.457,高波动跟随,,高波动跟随,高波动跟随,4,2,0.078,0.466,0.367,3,2,0.874,0.813,14.529
S09,2014-01-10 00:00:00,2014-05-29 00:00:00,XLY,-0.774,高波动跟随,,高波动跟随,高波动跟随,5,4,0.011,0.582,0.583,3,3,0.914,0.873,14.066
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLB,-19.321,高波动跟随,临界,弱势独立下跌,弱势独立下跌,5,1,0.061,0.453,0.473,6,6,0.848,0.674,16.708
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLE,-38.55,弱势独立下跌,稳健,弱势独立下跌,弱势独立下跌,7,3,0.108,0.618,0.52,8,7,0.692,0.479,23.351
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLF,-1.34,中性/混合,,中性/混合,中性/混合,14,6,0.004,0.398,0.363,5,5,0.913,0.834,15.506
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLI,-4.111,中性/混合,,中性/混合,跟随震荡,14,7,0.014,0.504,0.496,6,6,0.925,0.846,14.984
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLK,8.755,中性/混合,,中性/混合,跟随震荡,15,14,0.027,0.416,0.363,5,5,0.924,0.879,15.723
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLP,18.004,强势独立上涨,稳健,强势独立上涨,强势独立上涨,16,12,0.067,0.241,0.548,3,3,0.822,0.639,12.287
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLU,13.355,中性/混合,临界,中性/混合,强势独立上涨,2,0,0.04,0.372,0.487,6,5,0.512,0.037,16.033
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLV,12.385,强势独立上涨,稳健,强势独立上涨,强势独立上涨,8,5,0.032,0.239,0.581,4,4,0.856,0.727,16.858
S10,2014-07-17 00:00:00,2016-01-29 00:00:00,XLY,13.263,中性/混合,,中性/混合,中性/混合,7,4,0.04,0.293,0.51,4,4,0.911,0.848,14.754
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLB,2.142,高波动跟随,,高波动跟随,高波动跟随,3,0,0.025,0.379,0.323,2,2,0.827,0.713,15.023
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLE,6.216,中性/混合,,中性/混合,跟随震荡,1,0,0.052,0.52,0.388,4,4,0.685,0.573,20.18
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLF,8.076,高波动跟随,,高波动跟随,高波动跟随,2,1,0.096,0.34,0.535,2,1,0.885,0.798,14.774
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLI,5.6,跟随震荡,,中性/混合,跟随震荡,2,1,0.078,0.269,0.583,2,1,0.922,0.828,12.727
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLK,11.771,中性/混合,,中性/混合,中性/混合,16,10,0.155,0.345,0.513,2,1,0.92,0.845,12.117
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLP,-0.438,跟随震荡,,跟随震荡,跟随震荡,0,0,0.007,0.198,0.13,1,1,0.658,0.533,10.647
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLRE,-4.194,跟随震荡,,中性/混合,跟随震荡,5,0,0.05,0.547,0.378,2,2,0.565,0.445,14.078
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLU,1.102,跟随震荡,,中性/混合,跟随震荡,7,2,0.012,0.514,0.203,2,2,0.267,0.024,14.655
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLV,-1.668,跟随震荡,,中性/混合,跟随震荡,7,6,0.022,0.607,0.36,2,2,0.824,0.681,12.374
S11,2016-05-16 00:00:00,2016-11-08 00:00:00,XLY,1.019,跟随震荡,,跟随震荡,跟随震荡,2,1,0.015,0.353,0.308,2,2,0.915,0.866,12.136
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLB,-2.796,高波动跟随,,高波动跟随,高波动跟随,2,0,0.021,0.549,0.575,5,4,0.842,0.635,17.045
