t,ticker,src,K,date,dir,in_choppy,in_choppy_a,fwd5,spy_fwd5,fwd10,spy_fwd10,fwd20,spy_fwd20,fwd60,spy_fwd60,ex5,ex10,ex20,ex60,fake10,mae20,surv20,nodes
4,CRCL,hot50,8.0,2025-06-11,up,False,False,70.29863481228669,-0.6518741381471682,82.27815699658703,2.0484899834149584,59.83788395904437,4.008177862751139,-4.044368600682602,8.212722826072415,70.95050895043386,80.22966701317208,55.82970609629323,-12.257091426755018,False,-9.09556313993174,False,sep_oct
27,CRCL,hot50,8.0,2025-07-16,up,False,False,-13.203259005145796,1.60040280209639,-18.310463121783872,1.6404615615343454,-34.32246998284734,3.311352753263641,-35.47169811320755,7.817884100676409,-14.803661807242186,-19.950924683318217,-37.63382273611098,-43.28958221388396,False,-34.42109777015436,False,sep_oct
35,CRCL,hot50,8.0,2025-07-28,dn,False,False,-11.08113940440225,-0.9058968849064319,-13.050280535174807,-0.16014512952533533,-32.434182132067335,0.8682076989996235,-29.947129909365565,5.6851569425175885,-10.175242519495818,-12.89013540564947,-33.30238983106696,-35.63228685188315,False,-2.698162729658782,True,sep_oct
55,CRCL,hot50,8.0,2025-08-25,dn,False,False,-4.072181411689558,-0.34242085173836756,-5.788885340146921,1.2234036473214083,4.575215586074743,3.5143738666296276,-38.837432130309814,3.02582694073783,-3.72976055995119,-7.012288987468329,1.0608417194451158,-41.86325907104764,False,-13.112251977244338,False,sep_oct
82,CRCL,hot50,8.0,2025-10-02,up,False,False,0.50761421319796,0.2899008920579149,-14.199839700774774,-1.2820654295968015,-18.040341971680473,1.5854383218724788,-46.22628907293615,3.087561748200307,0.21771332114004505,-12.917774271177972,-19.62578029355295,-49.313850821136455,False,-18.040341971680473,False,sep_oct
184,CRCL,hot50,8.0,2026-03-02,up,True,True,16.330351570626167,-1.1815626803840407,30.88204701477013,-2.5277477978899565,-6.48013313917204,-7.675642932637638,6.7609735801955395,9.634538189589437,17.511914251010207,33.40979481266009,1.1955097934655985,-2.873564609393897,False,-6.48013313917204,False,sep_oct
228,CRCL,hot50,8.0,2026-05-04,up,False,False,10.231740985526638,2.9651394830609856,-6.810005856270395,2.8746134939972245,-15.627875847067685,5.788225945437087,-46.2561699991634,3.564126311282423,7.266601502465653,-9.68461935026762,-21.416101792504772,-49.82029631044582,False,-15.627875847067685,False,sep_oct
281,CRCL,hot50,8.0,2026-07-21,up,True,False,-9.510410804727076,-0.9916132537019284,-11.01575689364097,3.0803959601364506,0.9144625773776172,2.5618728496829446,,,-8.518797551025148,-14.096152853777422,-1.6474102723053274,,True,-15.095666854248735,False,sep_oct
301,CRCL,hot50,8.0,2026-08-18,up,True,False,28.286630419629155,-0.20066962512270692,24.745573679074305,-0.8834467521256939,,,,,28.487300044751862,25.629020431199997,,,False,0.0,True,sep_oct;midterm_pre2m
10,HOOD,hot50,5.0,2021-08-12,dn,False,False,-7.089397089397098,-1.1794954933013857,-2.577962577962578,0.2583640027494116,-14.407484407484406,0.07413477035165261,-23.056133056133067,5.598833033913753,-5.909901596095712,-2.8363265807119897,-14.481619177836059,-28.65496609004682,False,-4.997037329646458,True,sep_oct
