ticker,date,dir,choppy,dev_adr
NVDA,2017-03-02,dn,False,0.6535057764451128
NVDA,2017-04-13,dn,True,2.705745906251152
NVDA,2017-06-27,dn,True,1.9040404338411263
NVDA,2018-03-27,dn,True,-0.06498561382047209
NVDA,2018-06-25,dn,True,1.7941429906395536
NVDA,2018-10-10,dn,True,-1.8980851266964809
NVDA,2020-03-09,dn,False,0.47683065470192104
NVDA,2021-01-06,dn,False,3.1873271940835632
NVDA,2021-03-03,dn,True,0.74099461322129
NVDA,2021-09-28,dn,True,-0.06106048336052273
NVDA,2021-12-13,dn,True,0.4653721494752944
NVDA,2022-01-13,dn,True,-0.5241465245719021
NVDA,2022-04-21,dn,True,-0.6849387321284383
NVDA,2023-04-25,dn,True,3.5057524109677454
NVDA,2023-06-07,dn,False,3.5358121622658203
NVDA,2023-08-09,dn,True,1.6441545270229636
NVDA,2023-10-26,dn,True,3.316853489412184
NVDA,2024-04-17,dn,False,0.7183620328433995
NVDA,2024-07-24,dn,True,-0.19551393724244612
NVDA,2024-12-13,dn,True,0.9001948994643216
NVDA,2025-01-27,dn,True,0.23304608953136505
NVDA,2025-03-03,dn,True,0.7680304763335645
NVDA,2025-03-31,dn,True,-0.18660539184265415
NVDA,2025-11-13,dn,True,0.28195393760536824
NVDA,2025-12-12,dn,True,0.3325011435846679
NVDA,2026-02-04,dn,True,2.1277394232067097
NVDA,2026-03-27,dn,True,3.096488971497097
NVDA,2026-06-05,dn,True,0.1743738396160116
NVDA,2026-07-29,dn,True,4.135827006138672
CRCL,2025-07-16,up,False,1.0007255197859775
CRCL,2025-07-28,dn,False,0.16231538418597108
CRCL,2025-08-25,dn,False,-0.49178125092903946
CRCL,2025-09-11,up,False,0.7380339658783222
CRCL,2025-09-25,dn,False,2.5004989923368353
CRCL,2025-10-09,up,False,1.9374775842241778
CRCL,2025-10-30,dn,True,0.219744599498586
CRCL,2026-01-15,dn,True,-0.40455083142733855
CRCL,2026-02-17,up,True,-0.22241491415304612
CRCL,2026-04-09,dn,True,1.7875825785430304
CRCL,2026-05-18,dn,False,0.14951311564607325
CRCL,2026-06-23,dn,True,-0.2582412332758438
HOOD,2022-03-09,up,True,1.5131016424810055
HOOD,2022-07-20,up,True,1.1201273481838958
HOOD,2022-09-15,up,False,3.186930583730448
HOOD,2022-10-25,up,True,1.1284373353338863
HOOD,2023-01-27,up,True,0.023745206393607724
HOOD,2023-03-30,up,True,-0.8440399714489673
HOOD,2023-06-14,up,False,0.6296721116956093
HOOD,2023-07-14,up,False,-5.524829377584443
HOOD,2023-11-03,up,True,5.0168340773809526
HOOD,2023-12-04,up,False,-5.549305853728352
HOOD,2025-02-21,dn,True,-0.8408606871827142
HOOD,2025-08-19,dn,False,0.11856617771602934
HOOD,2025-11-04,dn,True,0.5431581569318301
HOOD,2025-12-31,dn,True,1.327195404935633
HOOD,2026-01-30,dn,True,-4.122760604383159
HOOD,2026-07-16,dn,True,-0.47984976268211227
SNOW,2020-10-30,dn,True,0.862649263112201
SNOW,2020-11-23,up,True,-1.195582331109666
SNOW,2020-12-24,dn,False,-0.7269647075763653
SNOW,2021-04-01,up,True,0.5736389766981295
SNOW,2021-05-27,up,True,0.011262882619341172
SNOW,2021-06-25,up,True,0.166725009143868
SNOW,2021-08-03,up,False,-0.3596926755776739
SNOW,2021-08-31,up,True,-0.7979485638187083
SNOW,2021-11-30,dn,True,1.800083084828553
SNOW,2022-01-04,dn,True,-0.8834435400686
SNOW,2022-02-07,up,True,0.7909296686410574
SNOW,2022-03-17,up,True,-0.26786849377745203
SNOW,2022-06-22,up,True,-1.730652076325445
SNOW,2023-01-23,up,True,0.18125076595180886
SNOW,2023-03-31,up,True,0.5909719982249049
SNOW,2023-05-08,up,True,-1.4251062327651733
SNOW,2023-06-15,up,False,1.2575259848442824
SNOW,2023-07-18,up,False,1.9638753893592735
SNOW,2023-08-31,up,True,-0.22844346039395036
SNOW,2023-11-14,up,False,0.39004240311429744
SNOW,2023-12-13,up,False,-6.217040943463282
SNOW,2024-05-06,up,False,0.7671556297307558
SNOW,2024-11-12,up,False,-0.552498054208709
SNOW,2026-05-15,up,False,-1.0857216410594386
MSTR,2015-03-18,up,True,0.7252210456655378
MSTR,2015-04-16,up,True,0.14854572365483035
MSTR,2015-07-28,up,True,-3.234212618748981
MSTR,2015-10-21,dn,False,0.24059097757098366
MSTR,2016-01-07,dn,True,-2.4570866948035093
