sector,ticker,pair,date,t,entry,entry_reason,days_into_window,etf_depth_pct,ema_state,support_level,support_band_lo,support_band_hi,support_age,support_touches,n_levels,lower_shadow,stk_vol_ratio,stk_ret_day,rs5,vix,spy_above_ma100,etf_t_index,fwd1,fwd5,fwd10,fwd20,support_broken_day,cls
XLE,CVX,XLE/CVX,2004-03-26,2325,18.23,死叉,3,-2.07,EMA10<EMA20,17.821,17.624,18.018,45,分形支撑(2触),1,0.25,1.45,0.78,-0.24,17.3,True,1321,0.05,3.15,7.18,8.1,,V型反转
XLE,CVX,XLE/CVX,2005-04-15,2590,23.001,死叉,2,-6.03,EMA10<EMA20,22.511,22.112,22.911,120,分形支撑(8触),1,0.23,1.32,-2.9,-0.9,17.7,False,1586,0.75,3.18,-0.4,-1.78,,死猫反弹
XLE,CVX,XLE/CVX,2005-05-12,2609,22.931,连续3日低于EMA20,0,-4.21,EMA10<EMA20,22.517,22.07,22.965,139,分形支撑(10触),1,0.28,1.03,-2.53,2.07,16.1,False,1605,-1.48,1.11,4.14,9.14,,V型反转
XLE,CVX,XLE/CVX,2005-10-18,2719,25.655,死叉,8,-6.65,EMA10<EMA20,25.376,25.003,25.749,149,分形支撑(1触),1,0.0,1.11,-4.44,-1.25,15.3,False,1715,1.83,2.41,0.61,-1.05,2.0,支撑击穿
XLE,CVX,XLE/CVX,2005-10-19,2720,26.126,死叉,9,-4.13,EMA10<EMA20,24.971,24.598,25.344,139,分形支撑(2触),1,0.5,1.27,1.83,-1.71,13.5,False,1716,-4.44,-1.17,0.31,-1.26,,横盘消化
XLE,CVX,XLE/CVX,2005-10-20,2721,24.966,死叉,10,-7.75,EMA10<EMA20,24.398,24.025,24.772,136,分形支撑(3触),1,0.22,1.97,-4.44,-1.94,16.1,False,1717,0.99,1.35,6.69,3.89,,V型反转
XLE,CVX,XLE/CVX,2005-10-28,2727,25.696,死叉,16,-0.74,EMA10<EMA20,24.459,24.084,24.833,142,分形支撑(4触),1,0.76,1.16,1.56,-2.97,14.2,False,1723,-0.54,1.1,-1.31,0.45,,死猫反弹
XLE,CVX,XLE/CVX,2006-02-10,2798,25.554,死叉,1,-3.97,EMA10<EMA20,25.086,24.664,25.508,228,分形支撑(4触),1,0.41,1.12,-0.51,3.31,12.9,True,1794,0.02,1.8,1.67,-1.75,,死猫反弹
XLE,CVX,XLE/CVX,2006-03-08,2815,25.08,连续3日低于EMA20,0,-3.0,EMA10<EMA20,24.501,24.1,24.901,230,分形支撑(6触),1,0.66,1.43,-0.36,-0.42,12.3,True,1811,-1.22,2.5,2.49,7.95,,V型反转
XLE,CVX,XLE/CVX,2006-05-24,2869,26.434,死叉,6,-4.85,EMA10<EMA20,25.626,25.245,26.007,119,分形支撑(4触),1,0.52,1.31,-0.86,0.06,17.4,False,1865,3.28,4.13,0.45,1.84,,V型反转
XLE,CVX,XLE/CVX,2006-06-08,2879,26.553,连续3日低于EMA20,1,-3.03,EMA10<EMA20,25.699,25.278,26.119,129,分形支撑(5触),2,0.53,1.4,1.21,0.7,18.4,False,1875,-0.57,2.71,1.38,10.06,,V型反转
